num_containers,arrival_rate,avg_cpu_util
1,2,0.804
1,2,0.855
3,2,0.345
3,2,0.305
1,2,0.815
3,2,0.318
1,2,0.829
1,2,0.838
1,2,0.866
2,2,0.4805
3,2,0.298
2,2,0.372
1,2,0.828
1,2,0.821
1,2,0.799
1,2,0.815
1,2,0.829
3,2,0.335
1,2,0.837
1,2,0.841
2,2,0.4695
1,2,0.792
2,2,0.4655
3,2,0.2976666666666667
1,2,0.821
3,2,0.2796666666666667
3,2,0.331
3,2,0.29
2,2,0.517
1,2,0.832
3,2,0.337
1,2,0.822
3,2,0.2623333333333333
2,2,0.4555
1,2,0.836
3,2,0.3316666666666667
3,2,0.3123333333333333
1,2,0.832
3,2,0.3083333333333333
1,2,0.829
1,2,0.836
2,2,0.4475
3,2,0.298
2,2,0.4655
1,2,0.83
2,2,0.481
2,2,0.4375
3,2,0.3193333333333333
1,2,0.828
2,2,0.486
3,2,0.3266666666666666
1,2,0.821
2,2,0.4475
1,2,0.829
1,2,0.814
1,2,0.812
2,2,0.5615
1,2,0.846
2,2,0.377
2,2,0.4505
3,2,0.3153333333333333
3,2,0.3223333333333333
2,2,0.483
2,2,0.4445
3,2,0.318
2,2,0.437
1,2,0.802
1,2,0.837
1,2,0.838
1,2,0.783
1,2,0.792
2,2,0.4735
3,2,0.3623333333333333
1,2,0.835
3,2,0.3343333333333333
1,2,0.828
3,2,0.3133333333333333
2,2,0.4315
1,2,0.832
3,2,0.2873333333333334
1,2,0.818
2,2,0.493
1,2,0.837
1,2,0.818
2,2,0.4589999999999999
2,2,0.4515
1,2,0.834
3,2,0.322
3,2,0.3846666666666666
3,2,0.276
2,2,0.4569999999999999
3,2,0.3296666666666666
3,2,0.3113333333333333
1,2,0.82
3,2,0.3616666666666666
2,2,0.429
2,2,0.458
2,2,0.4655
1,2,0.829
1,2,0.814
3,2,0.3053333333333333
1,2,0.838
3,2,0.3633333333333333
1,2,0.836
3,2,0.291
2,2,0.423
1,2,0.835
3,2,0.3643333333333333
1,2,0.809
2,2,0.471
2,2,0.423
2,2,0.5015
2,2,0.4815
1,2,0.855
3,2,0.2976666666666667
2,2,0.4605
2,2,0.5609999999999999
2,2,0.475
3,2,0.31
3,2,0.3173333333333333
3,2,0.3619999999999999
3,2,0.2996666666666667
2,2,0.501
3,2,0.2976666666666667
2,2,0.4639999999999999
3,2,0.3073333333333333
1,2,0.813
2,2,0.435
3,2,0.3483333333333333
2,2,0.409
1,2,0.804
