num_containers,cpu,arrival_rate,instant_tps,avg_cpu_util,prev_arrival_rate,response_time
3,47,14,14,0.4777304964539007,1,247.13
3,49,7,7,0.2374829931972789,14,201.28
1,47,5,5,0.4221276595744681,7,197.54
1,46,4,4,0.3528260869565218,5,175.69
3,45,3,3,0.1077037037037037,4,146.41
3,43,4,4,0.14403100775193797,3,170.1
2,40,3,3,0.18212499999999998,4,159.23
1,41,3,3,0.29487804878048784,3,165.13
2,47,2,2,0.09585106382978724,3,133.27
2,44,2,2,0.11249999999999999,2,129.14
2,42,3,3,0.1733333333333333,2,130.06
3,49,4,4,0.11904761904761904,3,145.34
1,47,6,6,0.515531914893617,4,158.29
3,48,10,9,0.33937500000000004,6,188.09
3,44,14,14,0.5349242424242424,10,224.0
2,48,18,14,0.6776041666666667,14,859.38
2,48,21,15,0.7101041666666668,18,1062.37
1,48,22,7,0.7770833333333333,21,2947.84
1,41,24,9,0.8641463414634147,22,2648.03
1,44,25,9,0.805681818181818,24,2757.72
3,40,27,18,0.7576666666666667,25,1033.43
2,49,27,14,0.6581632653061225,27,1529.38
1,49,27,7,0.7683673469387755,27,3586.58
3,48,26,20,0.6515972222222222,27,869.79
2,46,27,15,0.7475000000000002,26,1487.76
1,46,27,7,0.8154347826086957,27,3661.1
3,40,27,21,0.8260833333333334,27,913.76
1,49,26,9,0.723673469387755,27,2864.17
1,44,25,9,0.8052272727272727,26,2765.3
2,48,24,15,0.7051041666666668,25,1272.75
1,48,25,9,0.7383333333333334,24,2738.68
2,49,24,14,0.6790816326530612,25,1327.53
1,45,23,9,0.782888888888889,24,2547.97
3,40,22,20,0.8414166666666666,23,617.23
1,47,22,9,0.7570212765957446,22,2403.92
3,44,22,19,0.7515151515151514,22,749.46
2,40,23,14,0.798625,22,1247.34
3,40,23,19,0.7626666666666667,23,728.88
3,42,24,22,0.7994444444444443,23,668.34
1,46,24,9,0.7652173913043478,24,2655.35
1,48,26,9,0.7370833333333333,24,2848.75
2,44,27,14,0.7744318181818182,26,1460.25
1,40,30,9,0.89525,27,3277.37
1,47,29,9,0.7557446808510638,30,3156.93
1,43,26,9,0.8248837209302327,29,2867.39
1,46,23,9,0.7719565217391305,26,2522.5
2,47,19,14,0.7019148936170212,23,954.06
3,40,17,16,0.6806666666666666,19,278.46
1,49,14,9,0.7218367346938774,17,1535.31
2,40,7,7,0.403875,14,157.05
3,41,5,5,0.17577235772357724,7,147.12
3,45,4,4,0.1482222222222222,5,135.96
2,48,3,3,0.14354166666666668,4,131.85
1,45,4,4,0.3644444444444444,3,151.96
3,48,3,3,0.09277777777777778,4,137.15
3,49,3,3,0.09843537414965985,3,135.86
1,45,2,2,0.18488888888888888,3,123.43
3,43,2,2,0.07852713178294575,2,134.94
2,40,3,3,0.17862499999999998,2,145.28
1,45,4,4,0.35444444444444445,3,197.21
3,42,6,6,0.23682539682539686,4,173.58
3,44,10,9,0.3676515151515151,6,184.03
1,40,14,9,0.88175,10,1536.59
1,40,18,9,0.887,14,1974.19
3,46,21,20,0.6791304347826088,18,507.05
2,40,22,15,0.8123750000000001,21,1102.03
3,44,24,20,0.7312878787878786,22,690.07
1,41,25,9,0.868780487804878,24,2727.54
1,43,27,8,0.8195348837209303,25,3017.89
2,49,27,14,0.6485714285714285,27,1511.5
1,49,27,9,0.7238775510204082,27,2979.11
2,48,26,15,0.6688541666666667,27,1393.57
1,41,27,9,0.8665853658536586,26,2967.66
3,42,27,20,0.7898412698412698,27,930.97
2,41,27,15,0.8639024390243902,27,1480.3
1,48,26,9,0.7347916666666667,27,2830.18
3,49,25,20,0.6765306122448979,26,819.31
2,40,24,14,0.83025,25,1300.26
2,48,25,14,0.6860416666666668,24,1394.71
2,43,24,15,0.7836046511627908,25,1266.25
2,47,23,14,0.7060638297872339,24,1236.61
2,47,22,15,0.740531914893617,23,1095.64
3,48,22,20,0.6640972222222223,22,590.65
3,47,22,21,0.705177304964539,22,584.18
1,44,23,9,0.8074999999999999,22,2516.72
3,47,23,19,0.6572340425531915,23,723.82
3,46,24,21,0.6979710144927537,23,759.9
1,40,24,9,0.88175,24,2651.83
2,49,26,14,0.660204081632653,24,1382.11
2,42,27,14,0.7416666666666667,26,1555.05
1,42,30,9,0.8397619047619047,27,3304.03
3,47,29,21,0.738936170212766,30,969.08
3,46,26,20,0.6742028985507246,29,817.73
1,41,23,9,0.8602439024390245,26,2537.33
2,48,19,14,0.7248958333333333,23,931.08
2,45,17,15,0.7635555555555555,19,719.48
2,43,14,14,0.7311627906976744,17,411.27
2,48,7,7,0.3428125000000001,14,161.27
1,48,5,5,0.521875,7,208.67
1,46,4,4,0.35934782608695653,5,145.01
1,40,3,3,0.31075,4,155.01
1,41,4,4,0.4004878048780488,3,147.45
1,49,3,3,0.2542857142857143,4,153.42
2,47,3,3,0.155531914893617,3,141.42
3,45,2,2,0.07466666666666667,3,137.5
1,40,2,2,0.201,2,122.23
1,46,3,3,0.26586956521739136,2,158.02
3,41,4,4,0.16951219512195123,3,163.47
1,47,6,6,0.5061702127659574,4,229.05
2,42,10,10,0.5707142857142856,6,184.69
2,41,14,14,0.7457317073170733,10,365.41
2,47,18,15,0.7242553191489361,14,821.99
1,43,21,9,0.8246511627906976,18,2317.82
1,43,22,9,0.8237209302325581,21,2413.28
2,44,24,14,0.767840909090909,22,1317.12
3,45,25,18,0.641037037037037,24,894.63
3,49,27,20,0.6976190476190475,25,951.96
3,47,27,19,0.6360283687943262,27,967.47
1,46,27,9,0.7752173913043479,27,2940.07
2,45,26,15,0.7196666666666667,27,1354.58
1,42,27,9,0.8102380952380952,26,2984.85
1,44,27,9,0.8104545454545453,27,2973.42
2,46,27,14,0.7077173913043479,27,1485.03
1,40,26,9,0.885,27,2875.6
1,41,25,9,0.863658536585366,26,2761.06
1,40,24,9,0.8845,25,2655.43
3,42,25,19,0.7374603174603174,24,829.96
2,42,24,15,0.8339285714285714,25,1298.27
1,40,23,9,0.88575,24,2529.45
1,45,22,9,0.7895555555555556,23,2406.0
2,42,22,14,0.7544047619047618,22,1169.57
1,44,22,9,0.8031818181818181,22,2411.4
2,44,23,15,0.754090909090909,22,1345.17
2,44,23,15,0.7334090909090908,23,1202.3
3,41,24,21,0.7859349593495936,23,732.54
2,49,24,14,0.5762244897959183,24,1420.84
3,42,26,20,0.7526984126984126,24,830.61
1,48,27,9,0.7439583333333334,26,2977.71
2,46,30,15,0.7804347826086957,27,1633.04
2,44,29,16,0.8071590909090908,30,1627.0
1,45,26,9,0.7875555555555556,29,2857.15
1,43,23,9,0.826046511627907,26,2521.14
2,45,19,14,0.719,23,956.19
2,48,17,15,0.6944791666666666,19,724.24
2,40,14,13,0.762875,17,574.03
2,41,7,7,0.4204878048780488,14,163.19
3,45,5,5,0.1840740740740741,7,151.89
3,42,4,4,0.1664285714285714,5,142.91
3,43,3,3,0.1134108527131783,4,137.58
3,45,4,4,0.13474074074074072,3,136.23
3,40,3,3,0.1235,4,138.06
1,47,3,3,0.2574468085106383,3,124.15
3,47,2,2,0.07063829787234042,3,137.42
1,40,2,2,0.21375,2,122.44
3,40,3,3,0.11516666666666668,2,137.94
1,49,4,4,0.3426530612244898,3,138.88
2,43,6,6,0.30546511627906975,4,153.05
1,44,10,9,0.8002272727272727,6,1056.96
1,47,14,9,0.7502127659574468,10,1549.68
1,40,18,8,0.85,14,2007.01
1,44,21,9,0.8061363636363637,18,2309.83
1,42,22,9,0.8492857142857143,21,2402.4
2,47,24,15,0.7154255319148936,22,1205.29
2,49,25,15,0.7139795918367347,24,1310.3
1,42,27,9,0.844047619047619,25,2939.72
1,42,27,9,0.8416666666666667,27,2993.63
3,45,27,19,0.6557777777777778,27,927.82
