num_containers,arrival_rate,cpu_shares_per_container,avg_cpu_usage,latency,processing_rate,previous_arrival_rate,arrival_change_rate,cpu_utilization,data_processing_rate
3,14,4700,2245.3333333333335,0.24713,14.05,1,14.0,0.47773049645390075,1.0035714285714286
3,7,4900,1163.6666666666665,0.20128000000000001,7.0,14,0.5,0.2374829931972789,1.0
1,5,4700,1984.0,0.19754,5.0,7,0.7142857142857143,0.4221276595744681,1.0
1,4,4600,1623.0,0.17568999999999999,4.0,5,0.8,0.35282608695652173,1.0
3,3,4500,484.6666666666667,0.14640999999999998,3.0,4,0.75,0.1077037037037037,1.0
3,4,4300,619.3333333333333,0.1701,4.0,3,1.3333333333333333,0.14403100775193797,1.0
2,3,4000,728.4999999999999,0.15922999999999998,3.0,4,0.75,0.18212499999999998,1.0
1,3,4100,1209.0,0.16513,3.0,3,1.0,0.2948780487804878,1.0
2,2,4700,450.5,0.13327,2.0,3,0.6666666666666666,0.09585106382978724,1.0
2,2,4400,495.0,0.12913999999999998,2.0,2,1.0,0.1125,1.0
2,3,4200,728.0,0.13006,3.0,2,1.5,0.17333333333333334,1.0
3,4,4900,583.3333333333334,0.14534,4.0,3,1.3333333333333333,0.11904761904761905,1.0
1,6,4700,2423.0,0.15829,6.0,4,1.5,0.515531914893617,1.0
3,10,4800,1629.0000000000002,0.18809,9.97,6,1.6666666666666667,0.33937500000000004,0.9970000000000001
3,14,4400,2353.666666666667,0.224,14.0,10,1.4,0.5349242424242425,1.0
2,18,4800,3252.5,0.85938,14.72,14,1.2857142857142858,0.6776041666666667,0.8177777777777778
2,21,4800,3408.5,1.0623699999999998,15.72,18,1.1666666666666667,0.7101041666666666,0.7485714285714286
1,22,4800,3730.0,2.9478400000000002,7.47,21,1.0476190476190477,0.7770833333333333,0.33954545454545454
1,24,4100,3543.0,2.6480300000000003,9.05,22,1.0909090909090908,0.8641463414634146,0.3770833333333334
1,25,4400,3545.0,2.75772,9.07,24,1.0416666666666667,0.8056818181818182,0.3628
3,27,4000,3030.666666666667,1.03343,18.82,25,1.08,0.7576666666666667,0.697037037037037
2,27,4900,3225.0,1.5293800000000002,14.93,27,1.0,0.6581632653061225,0.552962962962963
1,27,4900,3765.0,3.58658,7.53,27,1.0,0.7683673469387755,0.2788888888888889
3,26,4800,3127.6666666666665,0.86979,20.57,27,0.9629629629629629,0.6515972222222222,0.7911538461538462
2,27,4600,3438.5000000000005,1.48776,15.5,26,1.0384615384615385,0.7475,0.5740740740740741
1,27,4600,3751.0,3.6611,7.38,27,1.0,0.8154347826086956,0.2733333333333333
3,27,4000,3304.3333333333335,0.91376,21.4,27,1.0,0.8260833333333334,0.7925925925925925
1,26,4900,3546.0,2.86417,9.07,27,0.9629629629629629,0.7236734693877551,0.34884615384615386
1,25,4400,3543.0,2.7653000000000003,9.05,26,0.9615384615384616,0.8052272727272727,0.36200000000000004
2,24,4800,3384.5,1.27275,15.57,25,0.96,0.7051041666666666,0.64875
1,25,4800,3544.0,2.73868,9.15,24,1.0416666666666667,0.7383333333333333,0.366
2,24,4900,3327.4999999999995,1.3275299999999999,14.47,25,0.96,0.6790816326530611,0.6029166666666667
1,23,4500,3523.0,2.54797,9.03,24,0.9583333333333334,0.7828888888888889,0.3926086956521739
3,22,4000,3365.6666666666665,0.6172300000000001,20.6,23,0.9565217391304348,0.8414166666666666,0.9363636363636364
1,22,4700,3558.0,2.4039200000000003,9.15,22,1.0,0.7570212765957447,0.41590909090909095
3,22,4400,3306.666666666666,0.74946,19.23,22,1.0,0.7515151515151514,0.8740909090909091
2,23,4000,3194.4999999999995,1.24734,14.38,22,1.0454545454545454,0.7986249999999999,0.6252173913043478
3,23,4000,3050.666666666667,0.72888,19.35,23,1.0,0.7626666666666667,0.841304347826087
3,24,4200,3357.6666666666665,0.66834,22.27,23,1.0434782608695652,0.7994444444444444,0.9279166666666666
1,24,4600,3520.0,2.65535,9.03,24,1.0,0.7652173913043478,0.37625
1,26,4800,3538.0,2.84875,9.1,24,1.0833333333333333,0.7370833333333333,0.35
2,27,4400,3407.5,1.46025,14.75,26,1.0384615384615385,0.7744318181818182,0.5462962962962963
1,30,4000,3581.0,3.27737,9.12,27,1.1111111111111112,0.89525,0.304
1,29,4700,3552.0,3.15693,9.18,30,0.9666666666666667,0.7557446808510638,0.31655172413793103
1,26,4300,3547.0,2.86739,9.07,29,0.896551724137931,0.8248837209302325,0.34884615384615386
1,23,4600,3551.0,2.5225,9.15,26,0.8846153846153846,0.7719565217391304,0.3978260869565218
2,19,4700,3299.0,0.9540599999999999,14.72,23,0.8260869565217391,0.7019148936170213,0.7747368421052632
3,17,4000,2722.6666666666665,0.27846,16.95,19,0.8947368421052632,0.6806666666666666,0.9970588235294118
1,14,4900,3537.0,1.53531,9.1,17,0.8235294117647058,0.7218367346938775,0.65
2,7,4000,1615.5,0.15705000000000002,7.03,14,0.5,0.403875,1.0042857142857142
3,5,4100,720.6666666666666,0.14712,5.0,7,0.7142857142857143,0.17577235772357722,1.0
3,4,4500,666.9999999999999,0.13596,4.0,5,0.8,0.1482222222222222,1.0
2,3,4800,689.0,0.13185,3.0,4,0.75,0.14354166666666668,1.0
1,4,4500,1640.0,0.15196,4.0,3,1.3333333333333333,0.36444444444444446,1.0
3,3,4800,445.3333333333333,0.13715,3.02,4,0.75,0.09277777777777778,1.0066666666666666
3,3,4900,482.33333333333326,0.13586,3.0,3,1.0,0.09843537414965985,1.0
1,2,4500,832.0,0.12343000000000001,2.0,3,0.6666666666666666,0.18488888888888888,1.0
3,2,4300,337.66666666666674,0.13494,2.0,2,1.0,0.07852713178294575,1.0
2,3,4000,714.4999999999999,0.14528,3.02,2,1.5,0.17862499999999998,1.0066666666666666
1,4,4500,1595.0,0.19721,4.0,3,1.3333333333333333,0.35444444444444445,1.0
3,6,4200,994.6666666666669,0.17358,6.0,4,1.5,0.23682539682539688,1.0
3,10,4400,1617.6666666666665,0.18403,9.93,6,1.6666666666666667,0.3676515151515151,0.993
1,14,4000,3527.0,1.53659,9.12,10,1.4,0.88175,0.6514285714285714
1,18,4000,3548.0,1.9741900000000001,9.12,14,1.2857142857142858,0.887,0.5066666666666666
3,21,4600,3124.0,0.50705,20.4,18,1.1666666666666667,0.6791304347826087,0.9714285714285713
2,22,4000,3249.5000000000005,1.10203,15.03,21,1.0476190476190477,0.8123750000000001,0.6831818181818181
3,24,4400,3217.666666666666,0.6900700000000001,20.93,22,1.0909090909090908,0.7312878787878786,0.8720833333333333
1,25,4100,3562.0,2.72754,9.15,24,1.0416666666666667,0.868780487804878,0.366
1,27,4300,3524.0,3.01789,8.93,25,1.08,0.8195348837209302,0.3307407407407407
2,27,4900,3178.0,1.5115,14.78,27,1.0,0.6485714285714286,0.5474074074074073
1,27,4900,3547.0,2.97911,9.05,27,1.0,0.7238775510204082,0.3351851851851852
2,26,4800,3210.4999999999995,1.39357,15.25,27,0.9629629629629629,0.6688541666666665,0.5865384615384616
